,Date,Open,High,Low,Close,Adj Close,Volume
0,"Jun 17, 2024",94.45,95.6,94.45,95.5,95.5,7634
1,"Jun 14, 2024",91.45,91.47,91.15,91.18,91.18,2862
2,"Jun 13, 2024",91.72,91.88,91.63,91.75,91.75,2862
3,"Jun 12, 2024",91.95,92.5,91.93,92.03,92.03,4521
4,"Jun 11, 2024",92.25,92.3,91.85,91.95,91.95,3984
5,"Jun 10, 2024",92.2,92.57,92.13,92.25,92.25,4059
6,"Jun 7, 2024",92.25,92.68,92.0,92.53,92.53,6919
7,"Jun 6, 2024",91.8,92.38,91.8,92.15,92.15,5512
8,"Jun 5, 2024",92.57,92.9,92.0,92.1,92.1,8579
9,"Jun 4, 2024",93.5,93.6,92.43,92.7,92.7,10182
10,"Jun 3, 2024",94.9,94.95,93.5,93.65,93.65,7457
11,"May 31, 2024",94.2,94.6,93.57,94.35,94.35,7386
12,"May 30, 2024",93.78,95.0,93.53,93.97,93.97,8898
13,"May 29, 2024",94.82,94.93,93.53,93.78,93.78,11129
14,"May 28, 2024",94.07,94.32,93.25,93.8,93.8,9823
15,"May 24, 2024",94.45,94.8,94.05,94.28,94.28,6763
16,"May 23, 2024",95.2,96.0,94.32,94.53,94.53,11187
17,"May 22, 2024",96.4,96.4,95.13,95.4,95.4,10913
18,"May 21, 2024",96.2,96.93,95.75,96.4,96.4,14464
19,"May 20, 2024",96.68,97.38,96.13,96.93,96.93,13053
20,"May 17, 2024",98.25,98.25,96.18,96.5,96.5,22603
21,"May 16, 2024",97.38,100.1,96.43,98.38,98.38,24942
22,"May 15, 2024",98.6,98.63,97.0,97.5,97.5,20206
23,"May 14, 2024",91.78,91.88,91.68,91.82,91.82,18413
24,"May 13, 2024",91.57,91.72,91.4,91.45,91.45,595
25,"May 10, 2024",91.85,91.97,91.6,91.72,91.72,458
26,"May 9, 2024",92.35,92.65,91.82,91.97,91.97,537
27,"May 8, 2024",92.35,92.85,92.0,92.53,92.53,629
28,"May 7, 2024",92.7,93.1,92.3,92.53,92.53,599
29,"May 6, 2024",92.28,92.4,91.88,92.18,92.18,1005
30,"May 3, 2024",93.03,93.03,92.4,92.43,92.43,709
31,"May 2, 2024",92.78,93.13,92.45,93.07,93.07,726
32,"May 1, 2024",94.4,94.5,92.8,93.03,93.03,1345
33,"Apr 30, 2024",94.2,94.7,93.53,94.15,94.15,768
34,"Apr 29, 2024",93.97,94.25,93.47,94.03,94.03,1083
35,"Apr 26, 2024",95.0,95.0,93.95,94.28,94.28,954
36,"Apr 25, 2024",96.75,96.75,95.0,95.28,95.28,1182
37,"Apr 24, 2024",97.95,98.47,97.28,97.35,97.35,1073
38,"Apr 23, 2024",97.05,98.97,96.8,98.57,98.57,1527
39,"Apr 22, 2024",96.1,97.0,96.0,96.7,96.7,538
40,"Apr 19, 2024",94.72,96.35,94.63,96.22,96.22,804
41,"Apr 18, 2024",94.5,94.88,93.65,94.72,94.72,967
42,"Apr 17, 2024",94.75,95.13,94.0,94.93,94.93,642
43,"Apr 16, 2024",94.45,95.7,94.25,94.72,94.72,661
44,"Apr 15, 2024",94.1,94.6,93.18,94.32,94.32,796
45,"Apr 12, 2024",91.4,91.45,90.82,90.88,90.88,1136
46,"Apr 11, 2024",91.22,91.63,91.2,91.45,91.45,3063
47,"Apr 10, 2024",91.43,91.8,91.15,91.75,91.75,6878
48,"Apr 9, 2024",89.9,90.68,89.82,90.6,90.6,6211
49,"Apr 8, 2024",89.35,89.85,89.03,89.75,89.75,4526
50,"Apr 5, 2024",88.78,89.4,88.78,89.32,89.32,7529
51,"Apr 4, 2024",87.8,88.4,87.68,88.35,88.35,6358
52,"Apr 3, 2024",87.15,88.32,87.15,87.97,87.97,8528
53,"Apr 2, 2024",87.22,87.35,86.43,86.55,86.55,9114
54,"Apr 1, 2024",86.28,87.93,86.03,86.95,86.95,8145
