,MarketTradeDate,OpenPx,HighPx,LowPx,SettlementPx,Volume,OpenInterest,ContractDate
0,2024-06-14,-1000000000.0,-1000000000.0,-1000000000.0,84.9,0,-1000000000,2025-05-01
1,2024-06-14,-1000000000.0,-1000000000.0,-1000000000.0,72.225,0,-1000000000,2025-12-01
2,2024-06-14,-1000000000.0,-1000000000.0,-1000000000.0,77.925,0,-1000000000,2025-10-01
3,2024-06-14,91.45,91.475,91.15,91.175,0,-1000000000,2024-06-01
4,2024-06-14,91.5,91.9,90.45,91.875,0,-1000000000,2025-06-01
5,2024-06-14,92.35,94.325,90.4,93.65,0,-1000000000,2024-07-01
6,2024-06-14,79.725,80.275,78.7,80.2,0,-1000000000,2025-04-01
7,2024-06-14,91.9,92.55,91.9,92.55,0,-1000000000,2025-08-01
8,2024-06-14,75.75,76.975,74.15,76.75,0,-1000000000,2024-10-01
9,2024-06-14,75.0,75.325,73.55,75.225,0,-1000000000,2025-02-01
10,2024-06-14,70.55,71.15,69.125,71.05,0,-1000000000,2024-12-01
11,2024-06-14,91.85,93.35,91.85,93.2,0,-1000000000,2025-07-01
12,2024-06-14,88.575,91.325,86.675,90.45,0,-1000000000,2024-08-01
13,2024-06-13,89.25,90.675,88.225,88.6,32507,89130,2024-08-01
14,2024-06-12,92.925,94.75,92.525,93.7,37327,45562,2024-07-01
15,2024-06-11,93.25,93.8,92.075,92.275,38325,53310,2024-07-01
16,2024-06-10,93.5,94.05,92.475,92.9,33134,62074,2024-07-01
17,2024-06-07,93.1,93.675,92.15,93.5,32387,72129,2024-07-01
18,2024-06-06,92.175,93.275,91.825,92.975,27083,77918,2024-07-01
19,2024-06-05,93.75,93.75,91.8,92.2,32045,80195,2024-07-01
20,2024-06-04,96.05,96.075,93.65,93.925,32513,78298,2024-07-01
21,2024-06-03,98.075,98.2,96.225,96.275,23765,79041,2024-07-01
22,2024-05-31,97.325,97.5,96.325,97.125,20676,78730,2024-07-01
23,2024-05-30,96.35,97.525,95.875,96.95,21919,78791,2024-07-01
24,2024-05-29,97.725,97.8,95.975,96.325,18597,78905,2024-07-01
25,2024-05-28,97.225,97.225,96.0,96.525,21087,77310,2024-07-01
26,2024-05-24,97.5,97.825,96.9,97.225,12534,75634,2024-07-01
27,2024-05-23,97.9,99.025,97.1,97.475,18300,75146,2024-07-01
28,2024-05-22,99.325,99.35,97.625,98.125,18598,73414,2024-07-01
29,2024-05-21,99.425,99.875,98.625,99.325,17174,72284,2024-07-01
30,2024-05-20,100.45,100.8,99.275,99.95,15107,72106,2024-07-01
31,2024-05-17,98.25,98.25,96.175,96.5,22603,37329,2024-06-01
32,2024-05-16,97.375,100.1,96.425,98.375,24942,39212,2024-06-01
33,2024-05-15,98.6,98.625,97.0,97.5,20206,41474,2024-06-01
34,2024-05-14,98.5,99.1,97.9,98.325,18413,45059,2024-06-01
35,2024-05-13,98.675,99.475,96.975,97.475,30183,48108,2024-06-01
36,2024-05-10,97.725,99.8,97.6,98.375,30455,56123,2024-06-01
37,2024-05-09,98.8,99.3,97.475,97.725,25679,60927,2024-06-01
38,2024-05-08,98.175,99.45,97.225,98.725,35296,67717,2024-06-01
39,2024-05-07,98.85,100.55,98.1,98.325,38401,75768,2024-06-01
40,2024-05-06,98.75,99.05,97.825,98.175,22266,83658,2024-06-01
41,2024-05-03,99.925,99.925,98.825,98.95,23818,86854,2024-06-01
42,2024-05-02,100.05,100.675,99.375,99.925,25581,88950,2024-06-01
43,2024-05-01,102.625,103.525,100.325,100.425,31304,92448,2024-06-01
44,2024-04-30,102.725,103.925,102.025,102.475,22711,94481,2024-06-01
45,2024-04-29,101.925,103.025,101.35,102.475,28292,96612,2024-06-01
46,2024-04-26,104.5,104.55,102.225,102.475,24607,98726,2024-06-01
47,2024-04-25,106.9,106.9,104.375,105.0,24166,100221,2024-06-01
48,2024-04-24,107.025,108.4,106.8,107.45,18812,102659,2024-06-01
49,2024-04-23,105.55,108.55,105.55,107.95,31080,101959,2024-06-01
50,2024-04-22,104.85,105.925,104.4,105.5,21060,100400,2024-06-01
51,2024-04-19,102.65,104.975,102.25,104.825,18048,101551,2024-06-01
52,2024-04-18,102.175,102.825,101.175,102.7,23878,100036,2024-06-01
53,2024-04-17,102.8,103.55,102.275,102.725,16931,102270,2024-06-01
54,2024-04-16,102.5,104.2,102.175,102.825,20358,102003,2024-06-01
55,2024-04-15,102.3,102.8,101.075,102.45,33872,102842,2024-06-01
56,2024-04-12,105.125,106.025,102.05,102.075,31283,106753,2024-06-01
57,2024-04-11,105.6,106.675,105.075,105.8,18942,109092,2024-06-01
58,2024-04-10,109.15,109.65,104.825,105.55,36993,109296,2024-06-01
59,2024-04-09,108.05,109.175,107.15,108.575,23672,110197,2024-06-01
60,2024-04-08,107.475,108.35,106.625,107.925,30480,110575,2024-06-01
61,2024-04-05,105.5,108.0,105.375,107.9,35303,108154,2024-06-01
62,2024-04-04,104.75,105.4,103.95,105.0,20047,105027,2024-06-01
63,2024-04-03,104.0,105.725,104.0,104.75,24354,102172,2024-06-01
64,2024-04-02,103.45,104.8,102.9,103.725,26899,99927,2024-06-01
65,2024-04-01,100.25,104.25,100.175,103.5,31013,97505,2024-06-01
66,2024-03-28,101.45,102.85,100.675,101.45,21028,93421,2024-06-01
67,2024-03-27,101.65,102.425,101.25,101.6,14086,92550,2024-06-01
68,2024-03-26,101.95,102.725,101.225,101.35,20514,91532,2024-06-01
69,2024-03-25,99.6,101.85,99.2,101.675,18990,90492,2024-06-01
70,2024-03-22,99.3,100.35,98.625,99.7,15715,88383,2024-06-01
71,2024-03-21,100.25,100.95,98.8,99.3,22049,88819,2024-06-01
72,2024-03-20,101.65,102.025,100.275,100.625,15888,88357,2024-06-01
73,2024-03-19,102.75,103.0,100.025,101.25,27101,87040,2024-06-01
74,2024-03-18,102.1,103.475,102.1,103.025,15959,85756,2024-06-01
75,2024-03-15,85.25,87.525,84.95,86.925,24644,38201,2024-04-01
76,2024-03-14,84.8,85.3,84.35,85.025,13104,41279,2024-04-01
77,2024-03-13,85.0,85.025,83.925,84.875,27874,43384,2024-04-01
78,2024-03-12,83.525,85.575,83.275,85.35,38030,48073,2024-04-01
79,2024-03-11,84.7,84.925,83.15,83.275,36700,56870,2024-04-01
80,2024-03-08,84.5,85.1,84.1,84.375,30285,64101,2024-04-01
81,2024-03-07,85.35,85.45,84.375,84.525,27601,71159,2024-04-01
82,2024-03-06,84.85,85.2,83.875,85.0,28829,77817,2024-04-01
83,2024-03-05,86.275,86.35,84.625,85.175,31663,83346,2024-04-01
84,2024-03-04,88.1,88.1,86.15,86.275,30218,88805,2024-04-01
85,2024-03-01,86.625,88.25,85.65,88.075,27459,92600,2024-04-01
86,2024-02-29,86.0,87.125,85.875,86.625,16795,93941,2024-04-01
87,2024-02-28,86.525,87.2,85.75,86.0,23435,94173,2024-04-01
88,2024-02-27,86.1,86.775,85.8,85.9,17744,94949,2024-04-01
89,2024-02-26,86.825,87.05,85.525,86.275,26615,95545,2024-04-01
